date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:20	607027/607027	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Nov%202018%2013:50:07%20GMT	https://mh-distillery.com/wp-content/uploads/2018/11/MH_Main_Slider_cocktailsHEB-2018_.jpg	C:/My%20Web%20Sites/rainboweye%20project1/mh-distillery.com/wp-content/uploads/2018/11/MH_Main_Slider_cocktailsHEB-2018_.jpg	(from https://mh-distillery.com/he/)
15:49:20	14280/14280	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2017:31:53%20GMT	https://mh-distillery.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.eot	C:/My%20Web%20Sites/rainboweye%20project1/mh-distillery.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.eot	(from https://mh-distillery.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3)
15:49:22	14176/14176	---M--	200	added ('OK')	font/woff	date:Tue,%2017%20Jul%202018%2017:31:53%20GMT	https://mh-distillery.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.woff	C:/My%20Web%20Sites/rainboweye%20project1/mh-distillery.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.woff	(from https://mh-distillery.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3)
15:49:22	14280/14280	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2017:31:53%20GMT	https://mh-distillery.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.eot?	C:/My%20Web%20Sites/rainboweye%20project1/mh-distillery.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerced41d.eot	(from https://mh-distillery.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3)
15:49:23	553/553	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2017:31:53%20GMT	https://mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/loader.svg	C:/My%20Web%20Sites/rainboweye%20project1/mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/loader.svg	(from https://mh-distillery.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3)
15:49:23	3014/3014	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2017:31:53%20GMT	https://mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/visa.svg	C:/My%20Web%20Sites/rainboweye%20project1/mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/visa.svg	(from https://mh-distillery.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3)
15:49:24	12391/12391	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2017:31:53%20GMT	https://mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/mastercard.svg	C:/My%20Web%20Sites/rainboweye%20project1/mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/mastercard.svg	(from https://mh-distillery.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3)
15:49:24	14100/14100	---M--	200	added ('OK')	font/ttf	date:Tue,%2017%20Jul%202018%2017:31:53%20GMT	https://mh-distillery.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.ttf	C:/My%20Web%20Sites/rainboweye%20project1/mh-distillery.com/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.ttf	(from https://mh-distillery.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3)
15:49:24	4901/4901	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2017:31:53%20GMT	https://mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/laser.svg	C:/My%20Web%20Sites/rainboweye%20project1/mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/laser.svg	(from https://mh-distillery.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3)
15:49:24	2031/2031	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2017:31:53%20GMT	https://mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/diners.svg	C:/My%20Web%20Sites/rainboweye%20project1/mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/diners.svg	(from https://mh-distillery.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3)
15:49:25	16174/16174	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2017:31:53%20GMT	https://mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/maestro.svg	C:/My%20Web%20Sites/rainboweye%20project1/mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/maestro.svg	(from https://mh-distillery.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3)
15:49:25	5879/5879	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2017:31:53%20GMT	https://mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/jcb.svg	C:/My%20Web%20Sites/rainboweye%20project1/mh-distillery.com/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/jcb.svg	(from https://mh-distillery.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3)
